tag,value
Requirement of Aadhaar for passport & other services,7
Fake ration cards and its linkage with Aadhaar,3
Installation of e-pos systems for Aadhaar enabled PDS,8
Digitization of Aadhaar for Cashless payments/Govt-Offices,9
Requirement of Aadhaar for school admission,6
BSNL linking Aadhaar with mobile numbers,3
Implementation of Direct Benefit Transfer Scheme,13
Aadhaar based verification for telecom users and data leakage,12
Opening of bank accounts and financial inclusion,8
LPG Subsidy & DBT (Direct Benefit Transfer),4
Aadhaar Enrollment of voters of electorates,7
Parliamentary debates on Aadhaar,46
Aadhaar's involvement in filing income tax returns,18
International Linkages/Positive Effect on Economy,14
Court cases related to Aadhaar,99
Aadhaar requirement for college students' registration,8
Aadhar enrollment centers,13
