tag,value
Enhanced security features on new currency notes,-372.2587
Negative impact on Retail/Stock markets,-187.4145
Long queues at banks and ATMs and cash crunch,-97.4691
Negative impact on Small/Medium scale industries/employees,-78.7742
Court verdicts & Penalties for black money hoarders,-71.0237
Appreciation by PM for supporting Demonitisation,-65.7425
Suffering of farmers and Relief-measures,-19.8428
Failure of RBI to stabilize economy Post-Demon,-7.7714
Vendors going cashless & impact Post-Demon,-7.5968
Huge deposits in PMY bank accounts,-3.7459
Negative impact of demonetisation on Real-Estate,7.5939
Probes and Arrests of black money hoarders,16.3179
Negative imapct of demonetisation on Economy,272.6069
