tag,value
Requirement of Aadhaar for passport & other services,-35.0231
Aadhar enrollment centers,-11.0175
Installation of e-pos systems for Aadhaar enabled PDS,-9.4957
Aadhaar's involvement in filing income tax returns,-1.632
Fake ration cards and its linkage with Aadhaar,-1.5801
LPG Subsidy & DBT (Direct Benefit Transfer),-0.296
Aadhaar requirement for college students' registration,0.2576
Aadhaar Enrollment of voters of electorates,0.5493
Digitization of Aadhaar for Cashless payments/Govt-Offices,1.8793
BSNL linking Aadhaar with mobile numbers,6.0459
Requirement of Aadhaar for school admission,6.6487
Opening of bank accounts and financial inclusion,12.0171
Parliamentary debates on Aadhaar,21.5622
Aadhaar based verification for telecom users and data leakage,49.7727
Court cases related to Aadhaar,100.332
Implementation of Direct Benefit Transfer Scheme,130.5549
International Linkages/Positive Effect on Economy,174.7435
