tag,value
Positive effect of climatic conditions on agriculture yield,0
Opposition's protests and concerns on problems related to farmers (including Demonetization),0
Educational Drives and Social Awareness on Farmer's Distress,0
Politics in Maharashtra/Punjab over Compensation and Loan waiver for farmers,0
Variation in Crop Prices with monsoon season,0
Cultural events related to farmers' distress,0
Disbursement of Loans and Subsidy by Banks for farmers,0
Crimes and Suicide in farmer community,0
Protests by farmers,0
Loan waiver implementation by State Govts (and opposition's protests regarding the same),0
Training programmes and seminars to improve farming in States,0
District Administration and farmers Issues,0
Farmers' Distress regarding Minimum Support Price for Crops,0
Irrigation concerns and water pollution affecting farming,0
